Číslo inzerátu:,Internet:,Dispozice:,Plocha:,Cena:,Poplatky:,Vratná kauce:,Město:,Městská část:,Typ vlastnictví:,Typ budovy:,Vybavenost:,Podlaží:,Balkón:,Terasa:,Výtah:,Garáž:,Provedení:,Typ vytápění:,Podlaží v rámci domu:,Předzahrádka:,Rekonstrukce:,lat,long,K dispozici od:,PENB:,Stáří:,Novostavba:
626730,,1+kk,25.0,10875.0,3.625 Kč,,Praha,Nové Město,,,Vybavený,5,Ne,Ne,Ne,Ne,,,,,,50.0747395,14.424046,21. 09. 2020,,,
626882,,3+kk,186.0,51480.0,17.160 Kč,,Praha,Nové Město,,,Vybavený,3,Ne,Ne,Ano,Ne,,,,,,50.0902503,14.4293691,21. 09. 2020,,,
624785,,3+kk,108.0,25450.0,5.550 Kč,31.000 Kč,Praha,Nové Město,Osobní,Cihla,Vybavený,4,Ne,Ne,Ne,Ne,,,,,,50.07872,14.422734,04. 09. 2020,G,,
625779,,2+1,76.0,22800.0,700 Kč,45.600 Kč,Praha,Nové Město,Osobní,Cihla,,4,Ne,Ne,Ano,Ne,,,,,,50.078156,14.419135,11. 09. 2020,G,,
589445,,3+kk,82.0,27000.0,750 Kč,,Praha,Nové Město,Osobní,Cihla,Vybavený,2,Ano,Ano,Ano,Ne,standardní: běžné materiály a technologie,plynový kotel,vyvýšené přízemí,,vše,50.070517,14.41869,03. 09. 2020,C,1 - 10,
626551,,2+1,57.0,22000.0,4.360 Kč,44.000 Kč,Praha,Nové Město,Osobní,Cihla,,3,Ne,Ne,Ano,Ne,,,,,,50.085156,14.433381,28. 09. 2020,G,,
626532,,2+kk,57.0,17500.0,3.500 Kč,21.000 Kč,Praha,Nové Město,Osobní,Cihla,,2,Ne,Ne,Ne,Ne,,,,,,50.074958,14.426898,16. 09. 2020,G,,
625094,,2+kk,40.0,15000.0,3.000 Kč,18.000 Kč,Praha,Nové Město,Osobní,Cihla,,3,Ne,Ne,Ano,Ne,,,,,,50.074975,14.41715,01. 10. 2020,C,,
626519,,3+kk,111.0,35000.0,1.000 Kč,35.000 Kč,Praha,Nové Město,Osobní,Cihla,,7,Ne,Ne,Ano,Ne,,,,,,50.078295,14.414471,16. 09. 2020,G,,
534457,,Garsoniéra,25.0,12000.0,,,Praha,Nové Město,Osobní,Cihla,Vybavený,,Ne,Ne,Ne,Ne,standardní: běžné materiály a technologie,centrální,přízemí,,,50.0811416,14.4224373,16. 09. 2020,G,1 - 10,
551604,,2+kk,110.0,29900.0,4.000 Kč,3 Kč,Praha,Nové Město,Osobní,Cihla,Částečně,6,Ne,Ano,Ano,Ne,nadstandardní: nadstandardní použité materiály a technologie,centrální,poslední podlaží,,vše,50.0831414,14.4318886,dubna,E,,
625947,,1+1,36.0,11000.0,4.000 Kč,33.000 Kč,Praha,Nové Město,Osobní,Cihla,,1,Ne,Ne,Ano,Ne,,,,,,50.077616,14.422776,14. 09. 2020,C,,
602054,,3+kk,115.0,26500.0,3.000 Kč,26.500 Kč,Praha,Nové Město,Osobní,Cihla,Vybavený,3,Ne,Ne,Ano,Ne,nadstandardní: nadstandardní použité materiály a technologie,plynový kotel,první až předposlední podlaží,,vše,50.078639,14.41624,10. 09. 2020,A,1 - 10,
602055,,3+kk,115.0,26500.0,3.000 Kč,26.500 Kč,Praha,Nové Město,Osobní,Cihla,Vybavený,4,Ne,Ne,Ano,Ne,nadstandardní: nadstandardní použité materiály a technologie,plynový kotel,první až předposlední podlaží,,vše,50.078639,14.41624,10. 09. 2020,A,1 - 10,
626311,,6+kk,200.0,40000.0,5.000 Kč,40.000 Kč,Praha,Nové Město,Osobní,Cihla,Částečně,5,Ne,Ano,Ne,Ne,,plynový kotel,podkroví,,,50.077928,14.423649,,,,
626312,,2+kk,80.0,25000.0,3.500 Kč,25.000 Kč,Praha,Nové Město,Osobní,Cihla,Částečně,5,Ne,Ano,Ne,Ne,,plynový kotel,podkroví,,,50.077928,14.423649,,,,
602056,,3+kk,115.0,26500.0,3.500 Kč,26.500 Kč,Praha,Nové Město,Osobní,Cihla,Vybavený,5,Ne,Ne,Ano,Ne,nadstandardní: nadstandardní použité materiály a technologie,plynový kotel,podkroví,,vše,50.078639,14.41624,10. 09. 2020,A,1 - 10,
